k,current_theta1,current_thetadot1,current_theta2,current_thetadot2,force1,force2,reward
198,-0.09470685221343784,0.5540848028057632,-0.345940740511297,-2.188478679389553,1.5,1.0,-0.38346682874382965
199,-0.07325473144649366,0.42904241533888365,-0.4090790813596878,-1.2627668169678166,1.5,1.0,-0.2616448218951267
200,-0.056645857272916295,0.3321774834715473,-0.4292509085886198,-0.40343654457864053,-1.5,1.0,-0.2011202419716914
201,-0.08176813095723895,-0.502445473686453,-0.34161141923000093,1.7527897871723779,-1.5,0.0,-0.2896205635907653
202,-0.12523205974688237,-0.8692785757928685,-0.22187124188846358,2.3948035468307474,-1.5,0.0,-0.3894463802778561
203,-0.18671813671797255,-1.2297215394218035,-0.07034879062370705,3.0304490252951304,-1.5,0.0,-0.5746044328931565
204,-0.2654696329271544,-1.5750299241836374,0.11134225865189709,3.6338209855120827,1.5,-1.0,-0.86713993540928
205,-0.29616465165487027,-0.6139003745543171,0.16787865560129234,1.1307279389879046,1.5,-1.0,-0.19866771099063624
206,-0.28183438373971825,0.28660535830304024,0.10728684709973735,-1.2118361700310998,1.5,-1.0,-0.1684755641387321
207,-0.22425648291955994,1.1515580164031665,-0.06578925703270311,-3.461522082648809,0.0,0.0,-0.7200302461627532
208,-0.16994171439042238,1.086295370582751,-0.23033004934485884,-3.2908158462431145,0.0,0.0,-0.6824074462228762
209,-0.1194339523548214,1.0101552407120193,-0.3851323828714256,-3.096046670531335,1.5,1.0,-0.6928873511336224
210,-0.07661973546159398,0.8562843378645483,-0.4899417394952467,-2.0961871324764227,1.5,1.0,-0.5022746600434256
211,-0.03948681197216911,0.7426584697884974,-0.5493252192563367,-1.1876695952217986,-1.5,1.0,-0.40142243833889296
212,-0.043331537728498265,-0.07689451512658307,-0.5031685507431919,0.9231333702628972,-1.5,0.0,-0.2979606119063947
213,-0.06553261626963452,-0.44402157082272503,-0.4255422030319089,1.5525269542256595,-1.5,0.0,-0.31575544530404775
214,-0.10592511018425455,-0.8078498782924003,-0.31644693649970496,2.181905330644079,-1.5,0.0,-0.3820254074750995
215,-0.16435388317336397,-1.1685754597821885,-0.1757099823037515,2.814739083919069,-1.5,0.0,-0.522302432582684
216,-0.24039630157004832,-1.5208483679336873,-0.003927740518719136,3.4356448357006473,1.5,-1.0,-0.7636375687202944
217,-0.2689049057188128,-0.5701720829752899,0.044154429338731066,0.9616433971490039,1.5,-1.0,-0.1367521733241055
218,-0.25209575594619593,0.3361829954523379,-0.025719655743367834,-1.3974817016419778,1.5,-1.0,-0.16751247650041456
219,-0.19209813970965076,1.1999523247309036,-0.20801965483972684,-3.64599998192718,0.0,0.0,-0.8168339445715525
220,-0.1363355892012444,1.1152510101681274,-0.3794835212176848,-3.4292773275591593,1.5,1.0,-0.8127815260082394
221,-0.08889171134734666,0.9488775570779543,-0.49943268791003465,-2.3989833338469966,1.5,1.0,-0.5901092288193959
222,-0.04756507504258555,0.8265327260952222,-0.5728295994066676,-1.4679382299326578,-1.5,1.0,-0.4722961360304212
223,-0.04718794812210645,0.007542538409581967,-0.540809553447468,0.6404009191839932,-1.5,1.0,-0.3152101869068925
224,-0.08634512650038004,-0.7831435675654719,-0.40742718233307884,2.667647422287782,-1.5,0.0,-0.5599352206271296
225,-0.14374374652684968,-1.1479724005293925,-0.24277150171192993,3.293113612422978,-1.5,0.0,-0.6877221615441775
226,-0.21899991959435283,-1.5051234613500633,-0.04698625092363087,3.915705015765981,-1.5,-1.0,-0.9300757927782544
227,-0.2864120940479897,-1.3482434890727366,0.09855203353790798,2.910765689230777,1.5,-1.0,-0.6062602611029188
228,-0.30656903663730534,-0.40313885178631303,0.12105088960974175,0.44997712143667545,1.5,-1.0,-0.12688790928183652
229,-0.28207105097778923,0.4899597131903224,0.02739293882483096,-1.8731590156982159,0.0,-1.0,-0.2677537118292281
230,-0.2345021263433868,0.9513784926880484,-0.14111435390550683,-3.3701458546067555,1.5,0.0,-0.6880547140213624
231,-0.17065746692151462,1.276893188437443,-0.3371296121488209,-3.9203051648662814,0.0,1.0,-0.9927427864214415
232,-0.1352819643143638,0.7075100521430163,-0.44465214937682807,-2.1504507445601426,1.5,1.0,-0.4722671877473201
233,-0.1058093623298237,0.5894520396908018,-0.5064981432583922,-1.2369198776312824,-1.5,1.0,-0.3616072148195943
